FEN,Evaluation
r1bq1rk1/pp4pp/2n1p1p1/2PpP3/1b6/2N1BN2/PPP2PPP/R2Q1RK1 b - - 3 10,+25
r1bq1rk1/pp4pp/2n1p1p1/2PpP3/8/2b1BN2/PPP2PPP/R2Q1RK1 w - - 0 11,+48
r1bq1rk1/pp4pp/2n1p1p1/2PpP3/8/2P1BN2/P1P2PPP/R2Q1RK1 b - - 0 11,-4
r1b2rk1/ppq3pp/2n1p1p1/2PpP3/8/2P1BN2/P1P2PPP/R2Q1RK1 w - - 1 12,+69
r1b2rk1/ppq3pp/2n1p1p1/2PpP3/8/2P1BN2/P1P2PPP/1R1Q1RK1 b - - 2 12,-18
r1b2rk1/ppq3pp/4p1p1/n1PpP3/8/2P1BN2/P1P2PPP/1R1Q1RK1 w - - 3 13,+38
r1b2rk1/ppq3pp/4p1p1/n1PpP3/8/2P1BN2/P1P2PPP/1R1QR1K1 b - - 4 13,+6
r4rk1/ppqb2pp/4p1p1/n1PpP3/8/2P1BN2/P1P2PPP/1R1QR1K1 w - - 5 14,+47
r4rk1/ppqb2pp/4p1p1/n1PpP3/3B4/2P2N2/P1P2PPP/1R1QR1K1 b - - 6 14,-16
r5k1/ppqb2pp/4p1p1/n1PpP3/3B1r2/2P2N2/P1P2PPP/1R1QR1K1 w - - 7 15,+42
r5k1/ppqb2pp/4p1p1/n1PpP3/3B1r2/2P2NP1/P1P2P1P/1R1QR1K1 b - - 0 15,-1
r4rk1/ppqb2pp/4p1p1/n1PpP3/3B4/2P2NP1/P1P2P1P/1R1QR1K1 w - - 1 16,+57
r4rk1/ppqb2pp/4p1p1/n1PpP3/3B4/2P3P1/P1PN1P1P/1R1QR1K1 b - - 2 16,-59
r4rk1/ppqb2pp/4p3/n1PpP1p1/3B4/2P3P1/P1PN1P1P/1R1QR1K1 w - - 0 17,-29
r4rk1/ppqb2pp/4p3/n1PpP1p1/3B2Q1/2P3P1/P1PN1P1P/1R2R1K1 b - - 1 17,-77
r5k1/ppqb2pp/4p3/n1PpPrp1/3B2Q1/2P3P1/P1PN1P1P/1R2R1K1 w - - 2 18,-12
r5k1/ppqb2pp/4p3/n1PpPrp1/3B2Q1/2P3P1/P1P2P1P/1R2RNK1 b - - 3 18,-93
r5k1/ppqb2pp/4p3/2PpPrp1/2nB2Q1/2P3P1/P1P2P1P/1R2RNK1 w - - 4 19,-81
r5k1/ppqb2pp/4p3/2PpPrp1/2nB2Q1/2P1N1P1/P1P2P1P/1R2R1K1 b - - 5 19,-131
r5k1/ppqb2pp/4p3/2PpPrp1/3B2Q1/2P1n1P1/P1P2P1P/1R2R1K1 w - - 0 20,-94
r5k1/ppqb2pp/4p3/2PpPrp1/6Q1/2P1B1P1/P1P2P1P/1R2R1K1 b - - 0 20,-113
r5k1/ppqb2p1/4p2p/2PpPrp1/6Q1/2P1B1P1/P1P2P1P/1R2R1K1 w - - 0 21,-27
r5k1/ppqb2p1/4p2p/2PpPrp1/6QP/2P1B1P1/P1P2P2/1R2R1K1 b - - 0 21,-45
r5k1/ppqb2p1/4p2p/2PpPr2/6Qp/2P1B1P1/P1P2P2/1R2R1K1 w - - 0 22,-9
r5k1/ppqb2p1/4p2p/2PpPr2/7Q/2P1B1P1/P1P2P2/1R2R1K1 b - - 0 22,-78
r5k1/ppq3p1/2b1p2p/2PpPr2/7Q/2P1B1P1/P1P2P2/1R2R1K1 w - - 1 23,0
r5k1/ppq3p1/2b1p2p/2PpPr2/1R5Q/2P1B1P1/P1P2P2/4R1K1 b - - 2 23,-91
r5k1/pp3qp1/2b1p2p/2PpPr2/1R5Q/2P1B1P1/P1P2P2/4R1K1 w - - 3 24,-39
r5k1/pp3qp1/2b1p2p/2PpPr2/1R4Q1/2P1B1P1/P1P2P2/4R1K1 b - - 4 24,-112
r5k1/pp3qp1/2b1p2p/2P1Pr2/1R1p2Q1/2P1B1P1/P1P2P2/4R1K1 w - - 0 25,-103
r5k1/pp3qp1/2b1p2p/2P1Pr2/3R2Q1/2P1B1P1/P1P2P2/4R1K1 b - - 0 25,-143
r5k1/pp3qp1/2b1p2p/2P1P2r/3R2Q1/2P1B1P1/P1P2P2/4R1K1 w - - 1 26,-116
r5k1/pp3qp1/2b1p2p/2P1P2r/4R1Q1/2P1B1P1/P1P2P2/4R1K1 b - - 2 26,-135
3r2k1/pp3qp1/2b1p2p/2P1P2r/4R1Q1/2P1B1P1/P1P2P2/4R1K1 w - - 3 27,-76
3r2k1/pp3qp1/2b1p2p/2P1P2r/4R1Q1/2P1BPP1/P1P5/4R1K1 b - - 0 27,-127
3r2k1/pp3qp1/4p2p/2P1P2r/4b1Q1/2P1BPP1/P1P5/4R1K1 w - - 0 28,-86
3r2k1/pp3qp1/4p2p/2P1P2r/4Q3/2P1BPP1/P1P5/4R1K1 b - - 0 28,-143
3r2k1/pp4p1/4p2p/2P1Pq1r/4Q3/2P1BPP1/P1P5/4R1K1 w - - 1 29,-93
3r2k1/pp4p1/4p2p/2P1PQ1r/8/2P1BPP1/P1P5/4R1K1 b - - 0 29,-140
3r2k1/pp4p1/4p2p/2P1Pr2/8/2P1BPP1/P1P5/4R1K1 w - - 0 30,-45
3r2k1/pp4p1/4p2p/2P1Pr2/5P2/2P1B1P1/P1P5/4R1K1 b - - 0 30,-81
3r2k1/pp4p1/4p3/2P1Pr1p/5P2/2P1B1P1/P1P5/4R1K1 w - - 0 31,-130
3r2k1/pp4p1/4p3/2P1Pr1p/5P2/2P1B1P1/P1P5/1R4K1 b - - 1 31,-153
3r2k1/pp3rp1/4p3/2P1P2p/5P2/2P1B1P1/P1P5/1R4K1 w - - 2 32,-72
3r2k1/pp3rp1/4p3/2P1P2p/5P2/2P1B1P1/P1P3K1/1R6 b - - 3 32,-82
3r4/pp3rpk/4p3/2P1P2p/5P2/2P1B1P1/P1P3K1/1R6 w - - 4 33,-76
3r4/pp3rpk/4p3/2P1P2p/5P2/2P1B1P1/P1P3K1/7R b - - 5 33,-87
3r4/pp3rp1/4p1k1/2P1P2p/5P2/2P1B1P1/P1P3K1/7R w - - 6 34,-76
3r4/pp3rp1/4p1k1/2P1P2p/5P2/2P1BKP1/P1P5/7R b - - 7 34,-119
3r4/pp1r2p1/4p1k1/2P1P2p/5P2/2P1BKP1/P1P5/7R w - - 8 35,-58
3r4/pp1r2p1/4p1k1/2P1P2p/3B1P2/2P2KP1/P1P5/7R b - - 9 35,-93
2r5/pp1r2p1/4p1k1/2P1P2p/3B1P2/2P2KP1/P1P5/7R w - - 10 36,-46
2r5/pp1r2p1/4p1k1/2P1P2p/3B1P1R/2P2KP1/P1P5/8 b - - 11 36,-145
8/pp1r2p1/2r1p1k1/2P1P2p/3B1P1R/2P2KP1/P1P5/8 w - - 12 37,-170
8/pp1r2p1/2r1p1k1/2P1P2p/3B1PPR/2P2K2/P1P5/8 b - - 0 37,-140
8/pp1r2p1/2r1p1k1/2P1P3/3B1PpR/2P2K2/P1P5/8 w - - 0 38,-148
8/pp1r2p1/2r1p1k1/2P1P3/3B1PR1/2P2K2/P1P5/8 b - - 0 38,-196
8/pp1r1kp1/2r1p3/2P1P3/3B1PR1/2P2K2/P1P5/8 w - - 1 39,-96
8/pp1r1kp1/2r1p3/2P1P3/3BKPR1/2P5/P1P5/8 b - - 2 39,-122
3r4/pp3kp1/2r1p3/2P1P3/3BKPR1/2P5/P1P5/8 w - - 3 40,-72
3r4/pp3kp1/2r1p3/2P1PP2/3BK1R1/2P5/P1P5/8 b - - 0 40,-71
3r4/pp3kp1/2r5/2P1Pp2/3BK1R1/2P5/P1P5/8 w - - 0 41,-43
3r4/pp3kp1/2r5/2P1PK2/3B2R1/2P5/P1P5/8 b - - 0 41,-76
5r2/pp3kp1/2r5/2P1PK2/3B2R1/2P5/P1P5/8 w - - 1 42,-47
5r2/pp3kp1/2r5/2P1PK2/3B4/2P5/P1P5/6R1 b - - 2 42,-59
5r2/pp3kp1/r7/2P1PK2/3B4/2P5/P1P5/6R1 w - - 3 43,-71
5r2/pp3kp1/r7/2P1P3/3BK3/2P5/P1P5/6R1 b - - 4 43,-32
4r3/pp3kp1/r7/2P1P3/3BK3/2P5/P1P5/6R1 w - - 5 44,-67
4r3/pp3kp1/r7/2P1P3/3BK3/2P5/P1P5/5R2 b - - 6 44,-72
4r1k1/pp4p1/r7/2P1P3/3BK3/2P5/P1P5/5R2 w - - 7 45,-57
4r1k1/pp4p1/r7/2P1P3/3BK3/2P5/P1P5/R7 b - - 8 45,-61
6k1/pp2r1p1/r7/2P1P3/3BK3/2P5/P1P5/R7 w - - 9 46,-51
6k1/pp2r1p1/r7/2P1P3/P2BK3/2P5/2P5/R7 b - - 0 46,-65
8/pp2rkp1/r7/2P1P3/P2BK3/2P5/2P5/R7 w - - 1 47,-44
8/pp2rkp1/r7/P1P1P3/3BK3/2P5/2P5/R7 b - - 0 47,-57
4k3/pp2r1p1/r7/P1P1P3/3BK3/2P5/2P5/R7 w - - 1 48,-23
4k3/pp2r1p1/r7/P1PKP3/3B4/2P5/2P5/R7 b - - 2 48,-43
4k3/pp1r2p1/r7/P1PKP3/3B4/2P5/2P5/R7 w - - 3 49,-52
rnbqkbnr/pppppppp/8/8/8/2N5/PPPPPPPP/R1BQKBNR b KQkq - 1 1,-34
rnbqkbnr/ppp1pppp/8/3p4/8/2N5/PPPPPPPP/R1BQKBNR w KQkq - 0 2,+27
rnbqkbnr/ppp1pppp/8/3p4/3P4/2N5/PPP1PPPP/R1BQKBNR b KQkq - 0 2,-25
rnbqkb1r/ppp1pppp/5n2/3p4/3P4/2N5/PPP1PPPP/R1BQKBNR w KQkq - 1 3,+21
rnbqkb1r/ppp1pppp/5n2/3p2B1/3P4/2N5/PPP1PPPP/R2QKBNR b KQkq - 2 3,-30
r1bqkb1r/pppnpppp/5n2/3p2B1/3P4/2N5/PPP1PPPP/R2QKBNR w KQkq - 3 4,+18
r1bqkb1r/pppnpppp/5n2/3p2B1/3P4/2N2N2/PPP1PPPP/R2QKB1R b KQkq - 4 4,-46
r1bqkb1r/pppnppp1/5n1p/3p2B1/3P4/2N2N2/PPP1PPPP/R2QKB1R w KQkq - 0 5,0
r1bqkb1r/pppnppp1/5n1p/3p4/3P3B/2N2N2/PPP1PPPP/R2QKB1R b KQkq - 1 5,-53
r1bqkb1r/pppn1pp1/4pn1p/3p4/3P3B/2N2N2/PPP1PPPP/R2QKB1R w KQkq - 0 6,+1
r1bqkb1r/pppn1pp1/4pn1p/3p4/3P3B/2N1PN2/PPP2PPP/R2QKB1R b KQkq - 0 6,-51
r1bqkb1r/pp1n1pp1/4pn1p/2pp4/3P3B/2N1PN2/PPP2PPP/R2QKB1R w KQkq - 0 7,-2
r1bqkb1r/pp1n1pp1/4pn1p/2pp4/3P3B/2NBPN2/PPP2PPP/R2QK2R b KQkq - 1 7,-76
r1bqk2r/pp1nbpp1/4pn1p/2pp4/3P3B/2NBPN2/PPP2PPP/R2QK2R w KQkq - 2 8,+18
r1bqk2r/pp1nbpp1/4pn1p/2pp4/3P3B/2NBPN2/PPP2PPP/R2Q1RK1 b kq - 3 8,-35
r1bq1rk1/pp1nbpp1/4pn1p/2pp4/3P3B/2NBPN2/PPP2PPP/R2Q1RK1 w - - 4 9,+4
r1bq1rk1/pp1nbpp1/4pn1p/2pp4/3P3B/2NBPN2/PPP2PPP/R2QR1K1 b - - 5 9,-75
r1bq1rk1/p2nbpp1/1p2pn1p/2pp4/3P3B/2NBPN2/PPP2PPP/R2QR1K1 w - - 0 10,-15
r1bq1rk1/p2nbpp1/1p2pn1p/2pp4/3PP2B/2NB1N2/PPP2PPP/R2QR1K1 b - - 0 10,-71
r1bq1rk1/p2nbpp1/1p2pn1p/2p5/3Pp2B/2NB1N2/PPP2PPP/R2QR1K1 w - - 0 11,+18
r1bq1rk1/p2nbpp1/1p2pn1p/2p5/3PN2B/3B1N2/PPP2PPP/R2QR1K1 b - - 0 11,-38
r2q1rk1/pb1nbpp1/1p2pn1p/2p5/3PN2B/3B1N2/PPP2PPP/R2QR1K1 w - - 1 12,+15
r2q1rk1/pb1nbpp1/1p2pn1p/2P5/4N2B/3B1N2/PPP2PPP/R2QR1K1 b - - 0 12,-30
r2q1rk1/pb2bpp1/1p2pn1p/2n5/4N2B/3B1N2/PPP2PPP/R2QR1K1 w - - 0 13,+28
r2q1rk1/pb2bpp1/1p2pn1p/2N5/7B/3B1N2/PPP2PPP/R2QR1K1 b - - 0 13,-12
r2q1rk1/pb2bpp1/4pn1p/2p5/7B/3B1N2/PPP2PPP/R2QR1K1 w - - 0 14,+36
r2q1rk1/pb2bpp1/4pn1p/2p5/7B/3B1N2/PPP1QPPP/R3R1K1 b - - 1 14,-22
1r1q1rk1/pb2bpp1/4pn1p/2p5/7B/3B1N2/PPP1QPPP/R3R1K1 w - - 2 15,+116
1r1q1rk1/pb2bpp1/4pn1p/2p5/7B/1P1B1N2/P1P1QPPP/R3R1K1 b - - 0 15,-26
rnbqkb1r/pp2pppp/2pp1n2/8/3PP3/2N5/PPP1BPPP/R1BQK1NR b KQkq - 1 4,+41
r1bqkb1r/pp1npppp/2pp1n2/8/3PP3/2N5/PPP1BPPP/R1BQK1NR w KQkq - 2 5,+53
r1bqkb1r/pp1npppp/2pp1n2/8/3PP3/2N2N2/PPP1BPPP/R1BQK2R b KQkq - 3 5,0
r1bqkb1r/pp1n1ppp/2pp1n2/4p3/3PP3/2N2N2/PPP1BPPP/R1BQK2R w KQkq - 0 6,+49
r1bqkb1r/pp1n1ppp/2pp1n2/4p3/3PP3/2N2N2/PPP1BPPP/R1BQ1RK1 b kq - 1 6,-5
r1bqk2r/pp1nbppp/2pp1n2/4p3/3PP3/2N2N2/PPP1BPPP/R1BQ1RK1 w kq - 2 7,+58
r1bqk2r/pp1nbppp/2pp1n2/4p3/3PP3/2N2N2/PPP1BPPP/R1BQR1K1 b kq - 3 7,0
r1bq1rk1/pp1nbppp/2pp1n2/4p3/3PP3/2N2N2/PPP1BPPP/R1BQR1K1 w - - 4 8,+61
r1bq1rk1/pp1nbppp/2pp1n2/4p3/P2PP3/2N2N2/1PP1BPPP/R1BQR1K1 b - - 0 8,+9
r1b2rk1/ppqnbppp/2pp1n2/4p3/P2PP3/2N2N2/1PP1BPPP/R1BQR1K1 w - - 1 9,+49
r1b2rk1/ppqnbppp/2pp1n2/4p3/P2PP3/2N2N2/1PP2PPP/R1BQRBK1 b - - 2 9,0
r1b1r1k1/ppqnbppp/2pp1n2/4p3/P2PP3/2N2N2/1PP2PPP/R1BQRBK1 w - - 3 10,+49
r1b1r1k1/ppqnbppp/2pp1n2/4p1B1/P2PP3/2N2N2/1PP2PPP/R2QRBK1 b - - 4 10,-19
r1b1rnk1/ppq1bppp/2pp1n2/4p1B1/P2PP3/2N2N2/1PP2PPP/R2QRBK1 w - - 5 11,+57
r1b1rnk1/ppq1bppp/2pp1n2/4p1B1/P2PP3/2N2N1P/1PP2PP1/R2QRBK1 b - - 0 11,-9
r1b1rnk1/ppq1bpp1/2pp1n1p/4p1B1/P2PP3/2N2N1P/1PP2PP1/R2QRBK1 w - - 0 12,+46
r1b1rnk1/ppq1bpp1/2pp1n1p/4p3/P2PP3/2N1BN1P/1PP2PP1/R2QRBK1 b - - 1 12,-10
r1b1rnk1/1pq1bpp1/2pp1n1p/p3p3/P2PP3/2N1BN1P/1PP2PP1/R2QRBK1 w - - 0 13,+93
r1b1rnk1/1pq1bpp1/2pp1n1p/p3p3/P2PP3/2N1BN1P/1PPQ1PP1/R3RBK1 b - - 1 13,0
r1b1r1k1/1pq1bpp1/2pp1nnp/p3p3/P2PP3/2N1BN1P/1PPQ1PP1/R3RBK1 w - - 2 14,+74
r1b1r1k1/1pq1bpp1/2pp1nnp/p3p3/P2PP3/2N1BN1P/1PPQ1PP1/3RRBK1 b - - 3 14,-18
r1b1rbk1/1pq2pp1/2pp1nnp/p3p3/P2PP3/2N1BN1P/1PPQ1PP1/3RRBK1 w - - 4 15,+70
r1b1rbk1/1pq2pp1/2pp1nnp/p3p3/P2PP3/2N1BN1P/1PP2PP1/2QRRBK1 b - - 5 15,0
r3rbk1/1pqb1pp1/2pp1nnp/p3p3/P2PP3/2N1BN1P/1PP2PP1/2QRRBK1 w - - 6 16,+59
r3rbk1/1pqb1pp1/2pp1nnp/p3p3/P2PP3/2N1BNPP/1PP2P2/2QRRBK1 b - - 0 16,-79
1r2rbk1/1pqb1pp1/2pp1nnp/p3p3/P2PP3/2N1BNPP/1PP2P2/2QRRBK1 w - - 1 17,-20
1r2rbk1/1pqb1pp1/2pp1nnp/p3P3/P3P3/2N1BNPP/1PP2P2/2QRRBK1 b - - 0 17,-118
1r2rbk1/1pqb1pp1/2p2nnp/p3p3/P3P3/2N1BNPP/1PP2P2/2QRRBK1 w - - 0 18,-78
1r2rbk1/Bpqb1pp1/2p2nnp/p3p3/P3P3/2N2NPP/1PP2P2/2QRRBK1 b - - 1 18,-110
r3rbk1/Bpqb1pp1/2p2nnp/p3p3/P3P3/2N2NPP/1PP2P2/2QRRBK1 w - - 2 19,-50
r3rbk1/1pqb1pp1/2p2nnp/p3p3/P3P3/2N1BNPP/1PP2P2/2QRRBK1 b - - 3 19,-102
r3r1k1/1pqb1pp1/2p2nnp/p3p3/Pb2P3/2N1BNPP/1PP2P2/2QRRBK1 w - - 4 20,-42
r3r1k1/1pqb1pp1/2p2nnp/p3p3/Pb2P3/2N1B1PP/1PPN1P2/2QRRBK1 b - - 5 20,-104
r3r1k1/2qb1pp1/1pp2nnp/p3p3/Pb2P3/2N1B1PP/1PPN1P2/2QRRBK1 w - - 0 21,-9
r3r1k1/2qb1pp1/1pp2nnp/p3p3/Pb2P3/4B1PP/NPPN1P2/2QRRBK1 b - - 1 21,-61
r3rbk1/2qb1pp1/1pp2nnp/p3p3/P3P3/4B1PP/NPPN1P2/2QRRBK1 w - - 2 22,0
r3rbk1/2qb1pp1/1pp2nnp/p3p3/P1P1P3/4B1PP/NP1N1P2/2QRRBK1 b - - 0 22,-94
r3rbk1/2q2pp1/1pp1bnnp/p3p3/P1P1P3/4B1PP/NP1N1P2/2QRRBK1 w - - 1 23,-44
r3rbk1/2q2pp1/1pp1bnnp/p3p3/P1P1P3/1P2B1PP/N2N1P2/2QRRBK1 b - - 0 23,-127
r3rbk1/2qn1pp1/1pp1b1np/p3p3/P1P1P3/1P2B1PP/N2N1P2/2QRRBK1 w - - 1 24,-45
r3rbk1/2qn1pp1/1pp1b1np/p3p3/P1P1P3/1P2B1PP/N1QN1P2/3RRBK1 b - - 2 24,-110
r3r1k1/2qn1pp1/1pp1b1np/p1b1p3/P1P1P3/1P2B1PP/N1QN1P2/3RRBK1 w - - 3 25,-90
r3r1k1/2qn1pp1/1pp1b1np/p1b1p3/P1P1P3/1P2B1PP/2QN1P2/2NRRBK1 b - - 4 25,-120
r3r1k1/2qn1pp1/1pp1b1np/p3p3/P1P1P3/1P2b1PP/2QN1P2/2NRRBK1 w - - 0 26,-46
r3r1k1/2qn1pp1/1pp1b1np/p3p3/P1P1P3/1P2R1PP/2QN1P2/2NR1BK1 b - - 0 26,-113
r3r1k1/2q2pp1/1pp1b1np/p1n1p3/P1P1P3/1P2R1PP/2QN1P2/2NR1BK1 w - - 1 27,-60
r3r1k1/2q2pp1/1pp1b1np/p1n1p3/P1P1P3/1P1NR1PP/2QN1P2/3R1BK1 b - - 2 27,-76
r3rnk1/2q2pp1/1pp1b2p/p1n1p3/P1P1P3/1P1NR1PP/2QN1P2/3R1BK1 w - - 3 28,-84
r3rnk1/2q2pp1/1pp1b2p/p1n1p3/P1P1P3/1P1NRNPP/2Q2P2/3R1BK1 b - - 4 28,-140
r3rnk1/2q3p1/1pp1bp1p/p1n1p3/P1P1P3/1P1NRNPP/2Q2P2/3R1BK1 w - - 0 29,-69
r3rnk1/2q3p1/1pp1bp1p/p1n1p3/P1P1P3/1P1NR1PP/2Q2P2/3RNBK1 b - - 1 29,-129
r3rnk1/2q2bp1/1pp2p1p/p1n1p3/P1P1P3/1P1NR1PP/2Q2P2/3RNBK1 w - - 2 30,-74
r3rnk1/2q2bp1/1pp2p1p/p1n1p3/P1P1P3/1PQNR1PP/5P2/3RNBK1 b - - 3 30,-171
r3r1k1/2q2bp1/1pp1np1p/p1n1p3/P1P1P3/1PQNR1PP/5P2/3RNBK1 w - - 4 31,-101
r3r1k1/2q2bp1/1pp1np1p/p1n1p3/P1P1P3/1PQNR1PP/2N2P2/3R1BK1 b - - 5 31,-207
3rr1k1/2q2bp1/1pp1np1p/p1n1p3/P1P1P3/1PQNR1PP/2N2P2/3R1BK1 w - - 6 32,-162
3rr1k1/2q2bp1/1pp1np1p/p1n1p3/P1P1P3/1PQN2PP/2N2P2/3RRBK1 b - - 7 32,-196
3rr1k1/2q3p1/1pp1np1p/p1n1p2b/P1P1P3/1PQN2PP/2N2P2/3RRBK1 w - - 8 33,-152
3rr1k1/2q3p1/1pp1np1p/p1n1p2b/P1P1P1P1/1PQN3P/2N2P2/3RRBK1 b - - 0 33,-209
3rr1k1/2q2bp1/1pp1np1p/p1n1p3/P1P1P1P1/1PQN3P/2N2P2/3RRBK1 w - - 1 34,-147
3rr1k1/2q2bp1/1pp1np1p/p1n1p3/P1P1P1P1/1PQN3P/2N2PB1/3RR1K1 b - - 2 34,-185
3rr1k1/4qbp1/1pp1np1p/p1n1p3/P1P1P1P1/1PQN3P/2N2PB1/3RR1K1 w - - 3 35,-102
3rr1k1/4qbp1/1pp1np1p/p1n1p3/P1P1P1P1/1PQN3P/2N2PB1/3RRK2 b - - 4 35,-337
4r1k1/3rqbp1/1pp1np1p/p1n1p3/P1P1P1P1/1PQN3P/2N2PB1/3RRK2 w - - 5 36,-158
4r1k1/3rqbp1/1pp1np1p/p1n1p3/P1P1P1P1/1PQNN2P/5PB1/3RRK2 b - - 6 36,-252
3r2k1/3rqbp1/1pp1np1p/p1n1p3/P1P1P1P1/1PQNN2P/5PB1/3RRK2 w - - 7 37,-247
3r2k1/3rqbp1/1pp1np1p/p1n1p3/P1P1P1P1/1PQ1N2P/1N3PB1/3RRK2 b - - 8 37,-298
3r2k1/3rqbp1/1pp2p1p/p1n1p3/P1PnP1P1/1PQ1N2P/1N3PB1/3RRK2 w - - 9 38,-230
3r2k1/3rqbp1/1pp2p1p/p1n1pN2/P1PnP1P1/1PQ4P/1N3PB1/3RRK2 b - - 10 38,-262
3r1qk1/3r1bp1/1pp2p1p/p1n1pN2/P1PnP1P1/1PQ4P/1N3PB1/3RRK2 w - - 11 39,-248
3r1qk1/3r1bp1/1pp2p1p/p1n1p3/P1PNP1P1/1PQ4P/1N3PB1/3RRK2 b - - 0 39,-269
3r1qk1/3r1bp1/1pp2p1p/p1n5/P1PpP1P1/1PQ4P/1N3PB1/3RRK2 w - - 0 40,-210
3r1qk1/3r1bp1/1pp2p1p/p1n5/P1PpP1P1/1P5P/1NQ2PB1/3RRK2 b - - 1 40,-320
3r1qk1/3r1bp1/1pp2p1p/p1n5/P1P1P1P1/1P1p3P/1NQ2PB1/3RRK2 w - - 0 41,-235
3r1qk1/3r1bp1/1pp2p1p/p1n5/P1P1P1P1/1PQp3P/1N3PB1/3RRK2 b - - 1 41,-297
3r1qk1/5bp1/1pp2p1p/p1n5/P1PrP1P1/1PQp3P/1N3PB1/3RRK2 w - - 2 42,-253
3r1qk1/5bp1/1pp2p1p/p1n1P3/P1Pr2P1/1PQp3P/1N3PB1/3RRK2 b - - 0 42,-350
3r1qk1/5bp1/1pp4p/p1n1p3/P1Pr2P1/1PQp3P/1N3PB1/3RRK2 w - - 0 43,-277
3r1qk1/5bp1/1pp4p/p1n1R3/P1Pr2P1/1PQp3P/1N3PB1/3R1K2 b - - 0 43,-307
3r2k1/5bp1/1ppq3p/p1n1R3/P1Pr2P1/1PQp3P/1N3PB1/3R1K2 w - - 1 44,-225
3r2k1/5bp1/1ppq3p/p1n5/P1Pr2P1/1PQpR2P/1N3PB1/3R1K2 b - - 2 44,-269
3r3k/5bp1/1ppq3p/p1n5/P1Pr2P1/1PQpR2P/1N3PB1/3R1K2 w - - 3 45,-218
3r3k/5bp1/1ppq3p/p1n5/P1Pr2P1/1PQpR2P/1N3PB1/3R2K1 b - - 4 45,-230
3r3k/6p1/1ppq2bp/p1n5/P1Pr2P1/1PQpR2P/1N3PB1/3R2K1 w - - 5 46,-191
3r3k/6p1/1ppq2bp/p1n5/P1Pr2P1/1PQpR2P/1N1R1PB1/6K1 b - - 6 46,-262
3r3k/6p1/1pp2qbp/p1n5/P1Pr2P1/1PQpR2P/1N1R1PB1/6K1 w - - 7 47,-256
3r3k/6p1/1pp2qbp/p1n5/PPPr2P1/2QpR2P/1N1R1PB1/6K1 b - - 0 47,-288
3r3k/6p1/1pp1nqbp/p7/PPPr2P1/2QpR2P/1N1R1PB1/6K1 w - - 1 48,-244
3r3k/6p1/1pp1nqbp/P7/P1Pr2P1/2QpR2P/1N1R1PB1/6K1 b - - 0 48,-324
3r3k/6p1/1pp2qbp/P7/P1Pr1nP1/2QpR2P/1N1R1PB1/6K1 w - - 1 49,-272
3r3k/6p1/1pp2qbp/P7/P1Pr1nP1/2QpR2P/1N1R1P2/5BK1 b - - 2 49,-779
3r3k/6p1/1pp2qbp/P7/P1Pr2P1/2QpR2n/1N1R1P2/5BK1 w - - 0 50,-757
rnbqkb1r/pp2pppp/2p2n2/3p4/2P5/5NP1/PP1PPPBP/RNBQK2R b KQkq - 0 4,0
rnbqkb1r/pp2pppp/2p2n2/8/2p5/5NP1/PP1PPPBP/RNBQK2R w KQkq - 0 5,+79
rnbqkb1r/pp2pppp/2p2n2/8/2p5/5NP1/PPQPPPBP/RNB1K2R b KQkq - 1 5,-3
rnb1kb1r/pp2pppp/2p2n2/3q4/2p5/5NP1/PPQPPPBP/RNB1K2R w KQkq - 2 6,+24
rnb1kb1r/pp2pppp/2p2n2/3q4/2p5/2N2NP1/PPQPPPBP/R1B1K2R b KQkq - 3 6,-12
rnb1kb1r/pp2pppp/2p2n2/7q/2p5/2N2NP1/PPQPPPBP/R1B1K2R w KQkq - 4 7,+47
rnb1kb1r/pp2pppp/2p2n2/7q/2p1N3/5NP1/PPQPPPBP/R1B1K2R b KQkq - 5 7,-61
rnb1kb1r/pp2pppp/2p5/7q/2p1n3/5NP1/PPQPPPBP/R1B1K2R w KQkq - 0 8,+35
rnb1kb1r/pp2pppp/2p5/7q/2p1Q3/5NP1/PP1PPPBP/R1B1K2R b KQkq - 0 8,-42
rn2kb1r/pp2pppp/2p1b3/7q/2p1Q3/5NP1/PP1PPPBP/R1B1K2R w KQkq - 1 9,-2
rn2kb1r/pp2pppp/2p1b3/7q/2p2Q2/5NP1/PP1PPPBP/R1B1K2R b KQkq - 2 9,-56
r3kb1r/pp2pppp/n1p1b3/7q/2p2Q2/5NP1/PP1PPPBP/R1B1K2R w KQkq - 3 10,-7
r3kb1r/pp2pppp/n1p1b3/7q/2p2Q2/5NP1/PP1PPPBP/R1B2RK1 b kq - 4 10,-114
3rkb1r/pp2pppp/n1p1b3/7q/2p2Q2/5NP1/PP1PPPBP/R1B2RK1 w k - 5 11,+30
3rkb1r/pp2pppp/n1p1b3/7q/2p2Q2/1P3NP1/P2PPPBP/R1B2RK1 b k - 0 11,+2
3rkb1r/pp2pppp/n1p1b3/5q2/2p2Q2/1P3NP1/P2PPPBP/R1B2RK1 w k - 1 12,+69
3rkb1r/pp2pppp/n1p1b3/5Q2/2p5/1P3NP1/P2PPPBP/R1B2RK1 b k - 0 12,+24
3rkb1r/pp2pppp/n1p5/5b2/2p5/1P3NP1/P2PPPBP/R1B2RK1 w k - 0 13,+51
3rkb1r/pp2pppp/n1p5/5b2/2P5/5NP1/P2PPPBP/R1B2RK1 b k - 0 13,-9
